descricaoProduto,ean,principioAtivo,classificacao,nomeSocial,fabricante,detalhes
"Triquilar (0,05mg + 0,03mg + 0,075mg + 0,04mg + 0,125m 21 Comprimidos Revestidos",7896006201977,"Etinilestradiol, Levonorgestrel",Preparações Contraceptivas Trifásicas,Triquilar,União Química Farmacêutica Nacional S/A,"{""ean"":""7896006201977"",""dose"":""(0,05mg + 0,03mg + 0,075mg + 0,04mg + 0,125m 21 Comprimidos Revestidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS REVESTIDOS"",""via_administracao"":""Oral"",""quantidade"":""21"",""volume"":null,""registro_ms"":""1049715010016"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Etinilestradiol"",""Levonorgestrel""],""legado"":{""produto_id"":156,""apresentacao_id"":186,""nome_normalizado"":""triquilar"",""tipo"":""medicamento""}}"
Artrinid 50mg 24 Cápsulas Duras,7896006210245,Cetoprofeno,Antirreumáticos NÃO Esteroidais Puros,Artrinid,União Química Farmacêutica Nacional S/A,"{""ean"":""7896006210245"",""dose"":""50mg 24 Cápsulas Duras"",""unidade"":""mg"",""forma_farmaceutica"":""CÁPSULAS DURAS"",""via_administracao"":""Oral"",""quantidade"":""24"",""volume"":null,""registro_ms"":""1049700040089"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cetoprofeno""],""legado"":{""produto_id"":613,""apresentacao_id"":767,""nome_normalizado"":""artrinid"",""tipo"":""medicamento""}}"
"Andriodermol (40,0 + 150,0 + 30,0 + 50,0 + 0,5)mg/ml Solução + Conta-gotas",7896006214007,"Hexilresorcina, Propionato de Cálcio, Undecilenato de Zinco, Ácido Undecilênico",Antifúngicos Dermatológicos Tópicos,Andriodermol,União Química Farmacêutica Nacional S/A,"{""ean"":""7896006214007"",""dose"":""(40,0 + 150,0 + 30,0 + 50,0 + 0,5)mg/ml Solução + Conta-gotas"",""unidade"":""mg"",""forma_farmaceutica"":""SOLUÇÃO"",""via_administracao"":""Dermatológica"",""quantidade"":null,""volume"":null,""registro_ms"":""1049711520036"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Hexilresorcina"",""Propionato de Cálcio"",""Undecilenato de Zinco"",""Ácido Undecilênico""],""legado"":{""produto_id"":185,""apresentacao_id"":220,""nome_normalizado"":""andriodermol"",""tipo"":""medicamento""}}"
Ecos 3mg/ml Xarope 120 ml + Copo Dosador,7896006216308,Dropropizina,Antitussígenos Puros,Ecos,União Química Farmacêutica Nacional S/A,"{""ean"":""7896006216308"",""dose"":""3mg/ml Xarope 120 ml + Copo Dosador"",""unidade"":""mg"",""forma_farmaceutica"":""XAROPE"",""via_administracao"":null,""quantidade"":null,""volume"":null,""registro_ms"":""1049711840014"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Dropropizina""],""legado"":{""produto_id"":642,""apresentacao_id"":803,""nome_normalizado"":""ecos"",""tipo"":""medicamento""}}"
Xantinon Complex 40mg/ml + 53mg/ml + 50mg/ml Solução,7896006216605,"Acetilracemetionina, Betaína, Citrato de Colina",Hepatoprotetores E Lipotrópicos,Xantinon Complex,União Química Farmacêutica Nacional S/A,"{""ean"":""7896006216605"",""dose"":""40mg/ml + 53mg/ml + 50mg/ml Solução"",""unidade"":""mg"",""forma_farmaceutica"":""SOLUÇÃO"",""via_administracao"":""Oral"",""quantidade"":null,""volume"":null,""registro_ms"":""1049714660017"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Acetilracemetionina"",""Betaína"",""Citrato de Colina""],""legado"":{""produto_id"":499,""apresentacao_id"":623,""nome_normalizado"":""xantinon complex"",""tipo"":""medicamento""}}"
Slow-k 600mg 20 Comprimidos Revestidos de Liberação Prolongada,7896006219545,Cloreto de Potássio,Suplementos Minerais Á Base de Potássio,Slow-k,União Química Farmacêutica Nacional S/A,"{""ean"":""7896006219545"",""dose"":""600mg 20 Comprimidos Revestidos de Liberação Prolongada"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS REVESTIDOS DE LIBERAÇÃO PROLONGADA"",""via_administracao"":""Oral"",""quantidade"":""20"",""volume"":null,""registro_ms"":""1049714700027"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cloreto de Potássio""],""legado"":{""produto_id"":150,""apresentacao_id"":180,""nome_normalizado"":""slow k"",""tipo"":""medicamento""}}"
"Amoxicilina + Clavulanato de Potássio (50 + 12,5)mg/ml pó Para Suspensão + Seringa Dosadora",7896006219927,"Amoxicilina, Amoxicilina Tri-hidratada, Amoxicilina Trihidratada, Clavulanato de Potássio",Penicilinas Orais de Amplo Espectro,Amoxicilina + Clavulanato de Potássio,União Química Farmacêutica Nacional S/A,"{""ean"":""7896006219927"",""dose"":""(50 + 12,5)mg/ml pó Para Suspensão + Seringa Dosadora"",""unidade"":""mg"",""forma_farmaceutica"":""PÓ PARA SUSPENSÃO"",""via_administracao"":""Oral"",""quantidade"":null,""volume"":null,""registro_ms"":""1049715040012"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Amoxicilina"",""Amoxicilina Tri-hidratada"",""Amoxicilina Trihidratada"",""Clavulanato de Potássio""],""legado"":{""produto_id"":1148,""apresentacao_id"":1499,""nome_normalizado"":""amoxicilina clavulanato de potassio"",""tipo"":""medicamento""}}"
Apresolina 50mg 20 Comprimidos Revestidos,7896006220510,Cloridrato de Hidralazina,Anti-hipertensivos Puro-ação Periférica,Apresolina,União Química Farmacêutica Nacional S/A,"{""ean"":""7896006220510"",""dose"":""50mg 20 Comprimidos Revestidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS REVESTIDOS"",""via_administracao"":""Oral"",""quantidade"":""20"",""volume"":null,""registro_ms"":""1049715390064"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cloridrato de Hidralazina""],""legado"":{""produto_id"":14,""apresentacao_id"":14,""nome_normalizado"":""apresolina"",""tipo"":""medicamento""}}"
Apresolina 25mg 20 Comprimidos Revestidos,7896006220534,Cloridrato de Hidralazina,Anti-hipertensivos Puro-ação Periférica,Apresolina,União Química Farmacêutica Nacional S/A,"{""ean"":""7896006220534"",""dose"":""25mg 20 Comprimidos Revestidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS REVESTIDOS"",""via_administracao"":""Oral"",""quantidade"":""20"",""volume"":null,""registro_ms"":""1049715390013"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cloridrato de Hidralazina""],""legado"":{""produto_id"":14,""apresentacao_id"":330,""nome_normalizado"":""apresolina"",""tipo"":""medicamento""}}"
Amoxicilina 500mg 21 Cápsulas Duras,7896006230618,"Amoxicilina, Amoxicilina Tri-hidratada",Penicilinas Orais de Amplo Espectro,Amoxicilina,Eurofarma Laboratórios S.a.,"{""ean"":""7896006230618"",""dose"":""500mg 21 Cápsulas Duras"",""unidade"":""mg"",""forma_farmaceutica"":""CÁPSULAS DURAS"",""via_administracao"":""Oral"",""quantidade"":""21"",""volume"":null,""registro_ms"":""1049713590031"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Amoxicilina"",""Amoxicilina Tri-hidratada""],""legado"":{""produto_id"":251,""apresentacao_id"":1506,""nome_normalizado"":""amoxicilina"",""tipo"":""medicamento""}}"
"Ciclo 21 0,15mg + 0,03mg 21 Comprimidos",7896006234067,"Etinilestradiol, Levonorgestrel",Hormônios Contraceptivos Monofásicos COM Estrogênios <50mcg,Ciclo 21,União Química Farmacêutica Nacional S/A,"{""ean"":""7896006234067"",""dose"":""0,15mg + 0,03mg 21 Comprimidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS"",""via_administracao"":""Oral"",""quantidade"":""21"",""volume"":null,""registro_ms"":""1049702860016"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Etinilestradiol"",""Levonorgestrel""],""legado"":{""produto_id"":301,""apresentacao_id"":367,""nome_normalizado"":""ciclo 21"",""tipo"":""medicamento""}}"
Foldan 50mg/g Pomada 45 G,7896006236009,Tiabendazol,Anti-helmínticos Exceto Esquistossomicidas (p1c),Foldan,União Química Farmacêutica Nacional S/A,"{""ean"":""7896006236009"",""dose"":""50mg/g Pomada 45 G"",""unidade"":""mg"",""forma_farmaceutica"":""POMADA"",""via_administracao"":""Dermatológica"",""quantidade"":null,""volume"":null,""registro_ms"":""1049711510014"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Tiabendazol""],""legado"":{""produto_id"":74,""apresentacao_id"":86,""nome_normalizado"":""foldan"",""tipo"":""medicamento""}}"
"Pilem 0,75mg",7896006238751,Levonorgestrel,Contraceptivo Sistêmico de Emergência,Pilem,União Química Farmacêutica Nacional S/A,"{""ean"":""7896006238751"",""dose"":""0,75mg"",""unidade"":""mg"",""forma_farmaceutica"":null,""via_administracao"":null,""quantidade"":null,""volume"":null,""registro_ms"":""1049712160017"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Levonorgestrel""],""legado"":{""produto_id"":564,""apresentacao_id"":710,""nome_normalizado"":""pilem"",""tipo"":""medicamento""}}"
Mucofan 20mg/ml Xarope 100 ml + Copo Dosador,7896006240419,Carbocisteína,Expectorantes,Mucofan,União Química Farmacêutica Nacional S/A,"{""ean"":""7896006240419"",""dose"":""20mg/ml Xarope 100 ml + Copo Dosador"",""unidade"":""mg"",""forma_farmaceutica"":""XAROPE"",""via_administracao"":null,""quantidade"":null,""volume"":null,""registro_ms"":""1049713150031"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Carbocisteína""],""legado"":{""produto_id"":67,""apresentacao_id"":116,""nome_normalizado"":""mucofan"",""tipo"":""medicamento""}}"
Mucofan 50mg/ml Xarope 100 ml + Copo Dosador,7896006240457,Carbocisteína,Expectorantes,Mucofan,União Química Farmacêutica Nacional S/A,"{""ean"":""7896006240457"",""dose"":""50mg/ml Xarope 100 ml + Copo Dosador"",""unidade"":""mg"",""forma_farmaceutica"":""XAROPE"",""via_administracao"":null,""quantidade"":null,""volume"":null,""registro_ms"":""1049713150023"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Carbocisteína""],""legado"":{""produto_id"":67,""apresentacao_id"":79,""nome_normalizado"":""mucofan"",""tipo"":""medicamento""}}"
"Histadin D (1,00 + 12,00)mg/ml Xarope",7896006248279,"Loratadina, Pseudoefedrina",Preparações Sistêmicas Nasais,Histadin D,União Química Farmacêutica Nacional S/A,"{""ean"":""7896006248279"",""dose"":""(1,00 + 12,00)mg/ml Xarope"",""unidade"":""mg"",""forma_farmaceutica"":""XAROPE"",""via_administracao"":null,""quantidade"":null,""volume"":null,""registro_ms"":""1049711940035"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Loratadina"",""Pseudoefedrina""],""legado"":{""produto_id"":614,""apresentacao_id"":768,""nome_normalizado"":""histadin d"",""tipo"":""medicamento""}}"
Hytos Plus (48 + 9)mg/ml Solução,7896006259305,"Cloridrato de Clobutinol, Succinato de Doxilamina",Antitussígenos Associados,Hytos Plus,União Química Farmacêutica Nacional S/A,"{""ean"":""7896006259305"",""dose"":""(48 + 9)mg/ml Solução"",""unidade"":""mg"",""forma_farmaceutica"":""SOLUÇÃO"",""via_administracao"":""Oral"",""quantidade"":null,""volume"":null,""registro_ms"":""1049702260035"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cloridrato de Clobutinol"",""Succinato de Doxilamina""],""legado"":{""produto_id"":405,""apresentacao_id"":504,""nome_normalizado"":""hytos plus"",""tipo"":""medicamento""}}"
"Hytos Plus (4 + 0,75)mg/ml Xarope + Copo Dosador",7896006259701,"Cloridrato de Clobutinol, Succinato de Doxilamina",Antitussígenos Associados,Hytos Plus,União Química Farmacêutica Nacional S/A,"{""ean"":""7896006259701"",""dose"":""(4 + 0,75)mg/ml Xarope + Copo Dosador"",""unidade"":""mg"",""forma_farmaceutica"":""XAROPE"",""via_administracao"":null,""quantidade"":null,""volume"":null,""registro_ms"":""1049702260019"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cloridrato de Clobutinol"",""Succinato de Doxilamina""],""legado"":{""produto_id"":405,""apresentacao_id"":503,""nome_normalizado"":""hytos plus"",""tipo"":""medicamento""}}"
"Brometro Ipratrópio 0,25 mg 0,25mg/ml Solução 20 ml + Inalador",7896006262510,Brometo de Ipratrópio,"Antiasmáticos/dpoc Anticolinérgicos de Curta Duração, Puros, Inalantes","Brometro Ipratrópio 0,25 mg",União Química Farmacêutica Nacional S/A,"{""ean"":""7896006262510"",""dose"":""0,25mg/ml Solução 20 ml + Inalador"",""unidade"":""mg"",""forma_farmaceutica"":""SOLUÇÃO"",""via_administracao"":null,""quantidade"":null,""volume"":null,""registro_ms"":""1049712050017"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Brometo de Ipratrópio""],""legado"":{""produto_id"":673,""apresentacao_id"":836,""nome_normalizado"":""brometro ipratropio 0 25 mg"",""tipo"":""medicamento""}}"
NEO Cebetil Complexo 10ml Solução Injetável,7896006263005,"Cianocobalamina, Cloridrato de Piridoxina, Frutose, Nicotinamida, Riboflavina, Ácido Ascórbico",Outras Associações COM Complexo B,NEO Cebetil Complexo,União Química Farmacêutica Nacional S/A,"{""ean"":""7896006263005"",""dose"":""10ml Solução Injetável"",""unidade"":""ml"",""forma_farmaceutica"":""SOLUÇÃO INJETÁVEL"",""via_administracao"":""Intravenosa"",""quantidade"":null,""volume"":null,""registro_ms"":""1049711530015"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cianocobalamina"",""Cloridrato de Piridoxina"",""Frutose"",""Nicotinamida"",""Riboflavina"",""Ácido Ascórbico""],""legado"":{""produto_id"":325,""apresentacao_id"":394,""nome_normalizado"":""neo cebetil complexo"",""tipo"":""medicamento""}}"
Acetato de Dexametasona 1mg/g Creme 10 G,7896006267010,Acetato de Dexametasona,Corticoesteróides Tópicos Puros,Acetato de Dexametasona,União Química Farmacêutica Nacional S/A,"{""ean"":""7896006267010"",""dose"":""1mg/g Creme 10 G"",""unidade"":""mg"",""forma_farmaceutica"":""CREME"",""via_administracao"":""Dermatológica"",""quantidade"":null,""volume"":null,""registro_ms"":""1049713340019"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Acetato de Dexametasona""],""legado"":{""produto_id"":844,""apresentacao_id"":1033,""nome_normalizado"":""acetato de dexametasona"",""tipo"":""medicamento""}}"
Scalid 100mg 12 Comprimidos,7896006274506,Nimesulida,Antirreumáticos NÃO Esteroidais Puros,Scalid,União Química Farmacêutica Nacional S/A,"{""ean"":""7896006274506"",""dose"":""100mg 12 Comprimidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS"",""via_administracao"":""Oral"",""quantidade"":""12"",""volume"":null,""registro_ms"":""1049700090025"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Nimesulida""],""legado"":{""produto_id"":577,""apresentacao_id"":726,""nome_normalizado"":""scalid"",""tipo"":""medicamento""}}"
"Celestrat 2mg/5ml + 0,25mg/5ml Xarope + Copo Dosador",7896006284369,"Betametasona, Maleato de Dexclorfeniramina",Associações de Corticosteróides Sistêmicos,Celestrat,União Química Farmacêutica Nacional S/A,"{""ean"":""7896006284369"",""dose"":""2mg/5ml + 0,25mg/5ml Xarope + Copo Dosador"",""unidade"":""mg"",""forma_farmaceutica"":""XAROPE"",""via_administracao"":null,""quantidade"":null,""volume"":null,""registro_ms"":""1049711420023"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Betametasona"",""Maleato de Dexclorfeniramina""],""legado"":{""produto_id"":651,""apresentacao_id"":812,""nome_normalizado"":""celestrat"",""tipo"":""medicamento""}}"
Gelo-bio 20G Pomada,7896006291732,Salicilato de Metila,Antirreumáticos E Analgésicos Tópicos,Gelo-bio,União Química Farmacêutica Nacional S/A,"{""ean"":""7896006291732"",""dose"":""20G Pomada"",""unidade"":""g"",""forma_farmaceutica"":""POMADA"",""via_administracao"":""Dermatológica"",""quantidade"":null,""volume"":null,""registro_ms"":""1049713630033"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Salicilato de Metila""],""legado"":{""produto_id"":518,""apresentacao_id"":692,""nome_normalizado"":""gelo bio"",""tipo"":""medicamento""}}"
Gelo-bio 60ml Solução Aerossol,7896006291770,Salicilato de Metila,Antirreumáticos E Analgésicos Tópicos,Gelo-bio,União Química Farmacêutica Nacional S/A,"{""ean"":""7896006291770"",""dose"":""60ml Solução Aerossol"",""unidade"":""ml"",""forma_farmaceutica"":""SOLUÇÃO AEROSSOL"",""via_administracao"":null,""quantidade"":null,""volume"":null,""registro_ms"":""1049713630017"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Salicilato de Metila""],""legado"":{""produto_id"":518,""apresentacao_id"":651,""nome_normalizado"":""gelo bio"",""tipo"":""medicamento""}}"
Vodol 20mg/g Creme 28 G,7896006292005,Nitrato de Miconazol,Antifúngicos Dermatológicos Tópicos,Vodol,União Química Farmacêutica Nacional S/A,"{""ean"":""7896006292005"",""dose"":""20mg/g Creme 28 G"",""unidade"":""mg"",""forma_farmaceutica"":""CREME"",""via_administracao"":""Dermatológica"",""quantidade"":null,""volume"":null,""registro_ms"":""1049711550024"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Nitrato de Miconazol""],""legado"":{""produto_id"":225,""apresentacao_id"":410,""nome_normalizado"":""vodol"",""tipo"":""medicamento""}}"
Vodol 20mg/g pó 30 G,7896006296003,Nitrato de Miconazol,Antifúngicos Dermatológicos Tópicos,Vodol,União Química Farmacêutica Nacional S/A,"{""ean"":""7896006296003"",""dose"":""20mg/g pó 30 G"",""unidade"":""mg"",""forma_farmaceutica"":""PÓ"",""via_administracao"":null,""quantidade"":null,""volume"":null,""registro_ms"":""1049711550016"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Nitrato de Miconazol""],""legado"":{""produto_id"":225,""apresentacao_id"":270,""nome_normalizado"":""vodol"",""tipo"":""medicamento""}}"
"Amclavu (80 + 11,4)mg/ml pó Para Suspensão + Seringa Dosadora",7896006299035,"Amoxicilina Tri-hidratada, Clavulanato de Potássio",Penicilinas Orais de Amplo Espectro,Amclavu,União Química Farmacêutica Nacional S/A,"{""ean"":""7896006299035"",""dose"":""(80 + 11,4)mg/ml pó Para Suspensão + Seringa Dosadora"",""unidade"":""mg"",""forma_farmaceutica"":""PÓ PARA SUSPENSÃO"",""via_administracao"":""Oral"",""quantidade"":null,""volume"":null,""registro_ms"":""1049715060021"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Amoxicilina Tri-hidratada"",""Clavulanato de Potássio""],""legado"":{""produto_id"":1124,""apresentacao_id"":1445,""nome_normalizado"":""amclavu"",""tipo"":""medicamento""}}"
Advil 400mg 60 Cápsulas Moles,7896009498411,Ibuprofeno,Analgésicos NÃO Narcóticos E Antipiréticos Isentos de Prescrição,Advil,Pf Consumer Healthcare Brazil Importadora E Distribuidora de Medicamentos Ltda,"{""ean"":""7896009498411"",""dose"":""400mg 60 Cápsulas Moles"",""unidade"":""mg"",""forma_farmaceutica"":""CÁPSULAS MOLES"",""via_administracao"":""Oral"",""quantidade"":""60"",""volume"":null,""registro_ms"":""1929000050181"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Ibuprofeno""],""legado"":{""produto_id"":961,""apresentacao_id"":1203,""nome_normalizado"":""advil"",""tipo"":""medicamento""}}"
Advil 400mg 8 Cápsulas Moles,7896009498442,Ibuprofeno,Analgésicos NÃO Narcóticos E Antipiréticos Isentos de Prescrição,Advil,Pf Consumer Healthcare Brazil Importadora E Distribuidora de Medicamentos Ltda,"{""ean"":""7896009498442"",""dose"":""400mg 8 Cápsulas Moles"",""unidade"":""mg"",""forma_farmaceutica"":""CÁPSULAS MOLES"",""via_administracao"":""Oral"",""quantidade"":""8"",""volume"":null,""registro_ms"":""1929000050130"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Ibuprofeno""],""legado"":{""produto_id"":961,""apresentacao_id"":1204,""nome_normalizado"":""advil"",""tipo"":""medicamento""}}"
